简码：aq	安全
简码：qyfq	轻言放弃
简码：qygo	奇异果
简码：qygl	企业管理
简码：qyh	区域化
简码：qyhg	前因后果
简码：qyhh	前仰后合
简码：qyhm	轻于鸿毛
简码：qyhx	强颜欢笑
简码：qyj	企业家
简码：qyjc	犬牙交错
简码：qyky	情有可原
简码：qyll	请原谅
简码：qyls	巧言令色
简码：qymh	潜移默化
简码：qypv	欠一屁股债
简码：qyqn	瞧一瞧
简码：qyqu	确有其事
简码：qyrh	巧言如簧
简码：qyse	清一色
简码：qytx	窃玉偷香
简码：qyui	潜意识
简码：qyul	潜意识里
简码：qyvj	权宜之计
简码：qyvz	前一阵子
简码：qyx	区域性
简码：qyxa	器宇轩昂
简码：qyxt	气焰熏天
简码：qyy	起源于
简码：qyyf	穷于应付
简码：qyyn	求爷爷告奶奶
简码：qyyu	其言也善
简码：qyyj	青眼有加
简码：qzbi	签字笔
简码：qzbt	千姿百态
简码：qzbu	七嘴八舌
简码：qzds	全自动
简码：qzdu	穷则独善其身
简码：qzgy	青藏高原
简码：qzim	亲自出马
简码：qzmh	起早摸黑
简码：qznf	千载难逢
简码：qzsb	穷则思变
简码：qzth	起早贪黑
简码：qzwy	确凿无疑
简码：qzxw	擒贼先擒王
简码：qzys	起作用
简码：rq	日期
简码：rw	认为
简码：rb	日本
简码：rx	如下
简码：rv	认真
简码：rm	人们
简码：ry	容易
简码：rl	人类
简码：rk	认可
简码：ra	热爱
简码：rt	认同
简码：rn	热闹
简码：rp	人品
简码：rd	认得
简码：rbde	容不得
简码：rbdg	肉包打狗
简码：rbfi	入不敷出
简码：rbiu	认不出
简码：rbjf	弱不禁风
简码：rbkd	锐不可当
简码：rbkx	人不可貌相
简码：rbln	饶不了
简码：rblg	日不落帝国
简码：rbqi	惹不起
简码：rbqq	惹不起还躲不起
简码：rbre	热不热
简码：rbrg	人不如故
简码：rbuv	如臂使指
简码：rbvu	忍不住
简码：rbwj	人不为己
简码：rbxx	容不下
简码：rbxu	日薄西山
简码：rbzg	肉包子打狗
简码：rcbi	人才辈出
简码：rcey	如此而已
简码：rcjj	人才济济
简码：rckl	如此看来
简码：rclk	人财两空
简码：rcul	如此说来
简码：rcvb	如此这般
简码：rcvd	如此之多
简码：rcvj	冗词赘句
简码：rcxz	如此下作
简码：rcyl	如此一来
简码：rdd	肉嘟嘟
简码：rddb	人大代表
简码：rddu	人多地少
简码：rduv	人多势众
简码：rdut	人定胜天
简码：rduu	人地生疏
简码：rdvy	人道主义
简码：rdwm	入地无门
简码：rdyu	热带鱼
简码：rdyl	热带雨林
简码：rdzz	人多嘴杂
简码：rdem	任督二脉
简码：rdho	惹的祸
简码：rdhh	人多好干活
简码：remj	日耳曼
简码：rfcm	人非草木
简码：rfpv	如法炮制
简码：rfux	人非圣贤
简码：rfyu	人浮于事
简码：rfz	人贩子
简码：rggl	荣归故里
简码：rghf	容光焕发
简码：rghx	人工呼吸
简码：rglm	人过留名
简码：rgly	热锅里的蚂蚁
简码：rgmd	人高马大
简码：rgqr	绕个圈
简码：rgsq	如隔三秋
简码：rguy	热锅上的蚂蚁
简码：rgvn	人工智能
简码：rgyu	日光浴
简码：rgyv	人各有志
简码：rgzh	如鲠在喉
简码：rhfg	荣华富贵
简码：rhgt	融会贯通
简码：rhhu	热乎乎
简码：rhit	热火朝天
简码：rhjb	热乎劲
简码：rhmm	人海茫茫
简码：rhmj	如花美眷
简码：rhr	任何人
简码：rhrt	如火如荼
简码：rhsy	如花似玉
简码：rhty	如虎添翼
简码：rhuh	如何是好
简码：rhuu	惹火烧身
简码：rhvb	如获至宝
简码：rhvu	人海战术
简码：ribn	日程表
简码：rifw	入场费
简码：riqr	入场券
简码：rirz	如痴如醉
简码：riuh	日常生活
简码：riwh	人畜无害
简码：riyv	如出一辙
简码：rjae	忍饥挨饿
简码：rjbh	如假包换
简码：rjbj	忍俊不禁
简码：rjdl	人杰地灵
简码：rjdy	人间地狱
简码：rjdj	日进斗金
简码：rjfp	人间凡品
简码：rjgx	人际关系
简码：rjhv	人迹罕至
简码：rjjv	人尽皆知
简码：rjjx	日久见人心
简码：rjpj	软键盘
简码：rjqc	人尽其才
简码：rjqr	如见其人
简码：rjra	人见人爱
简码：rjrl	若即若离
简码：rjsk	如饥似渴
简码：rjsq	如胶似漆
简码：rjti	日久天长
简码：rjuq	日久生情
简码：rjvq	人间重晚晴
简码：rjvu	人急智生
简码：rjws	入境问俗
简码：rjyl	日积月累
简码：rjyv	人皆有之
简码：rjyh	人间烟火
简码：rklk	绕口令
简码：rkmf	人困马乏
简码：rlbb	如履薄冰
简码：rldd	如临大敌
简码：rlfg	人来疯
简码：rlfo	如来佛
简码：rlge	如雷贯耳
简码：rlhy	热烈欢迎
简码：rlll	人流量
简码：rlpd	如履平地
简码：rlrz	揉了揉
简码：rlrw	人来人往
简码：rlry	任劳任怨
简码：rlsh	如狼似虎
简码：rlsr	绕梁三日
简码：rlut	扰乱视听
简码：rluy	如临深渊
简码：rlvh	人老珠黄
简码：rlwj	日理万机
简码：rlwm	人类文明
简码：rlwl	人力物力
简码：rlxj	人离乡贱
简码：rlxu	日落西山
简码：rlyk	热泪盈眶
简码：rlzl	肉烂在锅里
简码：rmbi	人民币
简码：rmfx	如梦方醒
简码：rmgt	人命关天
简码：rmgx	人脉关系
简码：rmgy	人模狗样
简码：rmif	如沐春风
简码：rmix	如梦初醒
简码：rmmm	软绵绵
简码：rmra	若明若暗
简码：rmsf	入木三分
简码：rmth	人面桃花
简码：rmtq	日暮途穷
简码：rmux	人面兽心
简码：rmvf	人民政府
简码：rmvj	燃眉之急
简码：rmvb	入幕之宾
简码：rmwh	人满为患
简码：rmyp	软磨硬泡
简码：rmyd	人莫予毒
简码：rmyu	戎马一生
简码：rmyx	茹毛饮血
简码：rmzb	如芒在背
简码：rmdx	人民大学
简码：rmyh	人民银行
简码：rnli	忍耐力
简码：rnsy	如你所愿
简码：rnus	如鸟兽散
简码：rnwa	日内瓦
简码：rnxs	阮囊羞涩
简码：rpiv	人怕出名猪怕壮
简码：rqev	如期而至
简码：rqlk	人去楼空
简码：rqln	人情冷暖
简码：rqmy	柔情蜜意
简码：rqqq	热气球
简码：rqrs	如泣如诉
简码：rqrh	人前人后
简码：rqrl	入情入理
简码：rqsu	柔情似水
简码：rqtt	热气腾腾
简码：rqtu	忍气吞声
简码：rqug	人情世故
简码：rqv	人情债
简码：rqvd	人穷志短
简码：rqww	人情味
简码：rqwq	人弃我取
简码：rqyj	日清月结
简码：rqyy	热情洋溢
简码：rqzi	绕圈子
简码：rqzr	任其自然
简码：rrdv	人人得而诛之
简码：rrfv	忍辱负重
简码：rrfw	人若犯我
简码：rrfu	如日方升
简码：rrhd	人人喊打
简码：rrhh	热热乎乎
简码：rrjv	人人皆知
简码：rrnn	热热闹闹
简码：rrpd	人人平等
简码：rrqm	人如其名
简码：rrqu	弱肉强食
简码：rrtu	忍辱偷生
简码：rruf	热热身
简码：rruq	冉冉升起
简码：rrvt	如日中天
简码：rrvv	认认真真
简码：rrvu	仁人志士
简码：rrwj	如入无人之境
简码：rrwq	任人唯亲
简码：rrwx	任人唯贤
简码：rrwl	软弱无力
简码：rrxk	柔韧性
简码：rryg	荣辱与共
简码：rryy	日日夜夜
简码：rryz	人人有责
简码：rrzg	任人宰割
简码：rrzw	人人自危
简码：rsbs	人算不如天算
简码：rsgv	人所共知
简码：rsjy	乳酸菌
简码：rskb	如丧考妣
简码：rsle	热死了
简码：rsrm	人死如灯灭
简码：rsti	染色体
简码：rsyx	日思夜想
简码：rtcx	人同此心
简码：rtga	忍痛割爱
简码：rtma	人头马
简码：rtsu	如图所示
简码：rttg	热腾腾
简码：rtuv	人头税
简码：rubq	人善被人欺
简码：rucg	入室操戈
简码：rudf	人声鼎沸
简码：rudu	人生地不熟
简码：rug	人生观
简码：rugf	人神共愤
简码：rugj	人身攻击
简码：rujh	人生几何
简码：rujv	如数家珍
简码：rulu	人生路不熟
简码：ruq	热水器
简码：ruqt	弱势群体
简码：rurh	人山人海
简码：rurm	人生如梦
简码：rurq	人生如棋
简码：rusg	日上三竿
简码：rusu	如上所述
简码：rutg	人是铁饭是钢
简码：ruuf	惹是生非
简码：ruvf	如释重负
简码：ruwg	人谁无过
简码：ruyl	日晒雨淋
简码：ruyv	人是衣妆
简码：ruzu	人生在世
简码：ruzy	人身自由
简码：ruzs	人生自古谁无死
简码：rvci	肉中刺
简码：rvcq	任重才轻
简码：rvdy	任重道远
简码：rvdg	柔中带刚
简码：rvey	任重而道远
简码：rviq	人之常情
简码：rvjr	仁者见仁
简码：rvjs	人之将死
简码：rvls	热胀冷缩
简码：rvrz	绕指柔
简码：rvvl	人中之龙
简码：rvwm	日臻完美
简码：rvwu	日臻完善
简码：rvy	热衷于
简码：rvyj	仁至义尽
简码：rwcs	人为财死
简码：rwdl	人文地理
简码：rwkr	忍无可忍
简码：rwlj	任务栏
简码：rwqu	若无其事
简码：rwrl	人五人六
简码：rwwr	人无完人
简码：rwxu	润物细无声
简码：rwyq	人微言轻
简码：rwyr	人外有人
简码：rwyt	融为一体
简码：rwzi	绕弯子
简码：rxbx	人心不足蛇吞象
简码：rxbg	人心不古
简码：rxdc	人行道
简码：rxft	热血沸腾
简码：rxgd	人小鬼大
简码：rxgp	人心隔肚皮
简码：rxhx	人性化
简码：rxhd	人行横道
简码：rxhh	人心惶惶
简码：rxnc	人心难测
简码：rxql	日行千里
简码：rxqy	人心齐泰山移
简码：rxru	仁心仁术
简码：rxrg	柔心弱骨
简码：rxss	入乡随俗
简码：rxsx	人心所向
简码：rxun	任贤使能
简码：rxvn	瑞雪兆丰年
简码：rxwg	乳臭未干
简码：rxxb	人心向背
简码：rxyy	日新月异
简码：rycl	日夜操劳
简码：ryct	日月蹉跎
简码：rydd	仁义道德
简码：rydf	人有旦夕祸福
简码：rydu	如鱼得水
简码：ryev	如约而至
简码：ryfq	饶有风趣
简码：ryft	肉眼凡胎
简码：rygh	日月光华
简码：ryhl	人欲横流
简码：ryju	软硬兼施
简码：ryji	日夜兼程
简码：ryjq	锐意进取
简码：ryjx	如意吉祥
简码：ryjy	日以继夜
简码：rykw	人言可畏
简码：rylx	仁义礼智信
简码：rymf	人仰马翻
简码：rypb	日用品
简码：ryqf	人以群分
简码：ryrf	忍一忍
简码：ryrs	日月如梭
简码：ryrv	若要人不知
简码：ryrw	若有若无
简码：ryrx	若隐若现
简码：rysp	如意算盘
简码：ryss	若有所思
简码：rysu	若有所失
简码：rysx	如影随形
简码：rysj	人有三急
简码：rytj	日月潭
简码：ryti	日益突出
简码：ryvi	如蝇逐臭
简码：rywh	容易忘
简码：rywu	如烟往事
简码：rywx	软玉温香
简码：ryxq	饶有兴趣
简码：ryxv	饶有兴致
简码：ryxi	日月星辰
简码：ryxu	人烟稀少
简码：ryyi	如愿以偿
简码：ryyy	人云亦云
简码：ryyv	日益严重
简码：rzdm	人走灯灭
简码：rzgz	认祖归宗
简码：rzif	如坐春风
简码：rzil	人走茶凉
简码：rzjh	人赃俱获
简码：rzkj	孺子可教
简码：rznq	孺子牛
简码：rzvv	如坐针毡
简码：rzwx	人在屋檐下
简码：rzyz	荣宗耀祖
简码：rzzf	认贼作父
简码：sm	什么
简码：sy	所以
简码：sx	思想
简码：sk	思考
简码：sw	所谓
简码：sh	似乎
简码：sb	随便
简码：sq	索取
简码：sl	算了
简码：sp	碎片
简码：sn	随你
简码：st	三天
简码：sbbb	三步并作两步
简码：sbdc	三班倒
简码：sbdy	随波荡漾
简码：sbda	斯巴达
简码：sbdk	斯巴达克
简码：sbho	三把火
简码：sbhg	死不悔改
简码：sbji	所不及
简码：sbkn	俗不可耐
简码：sblh	三百六十行
简码：sbmm	死不瞑目
简码：sbni	随便你
简码：sbqu	三部曲
简码：sbsr	算不算
简码：sbuh	算不上
简码：sbvj	损兵折将
简码：sbvl	随波逐流
简码：sbxl	四不像
简码：sbxu	素不相识
简码：sbyr	虽败犹荣
简码：sbyy	散兵游勇
简码：sbyk	色不异空
简码：sbzi	腮帮子
简码：sbzx	死不足惜
简码：scbl	色彩斑斓
简码：scbu	三寸不烂之舌
简码：scjl	三寸金莲
简码：scsd	三从四德
简码：scvu	三寸之舌
简码：scxu	似曾相识
简码：sdbt	色胆包天
简码：sdfd	似懂非懂
简码：sdfm	四大发明
简码：sdgm	斯德哥尔摩
简码：sdim	扫地出门
简码：sdjl	三等奖
简码：sdjk	四大皆空
简码：sdle	死定了
简码：sdlq	随大流
简码：sdlt	死到临头
简码：sdmv	四大名著
简码：sdqs	死得其所
简码：sdtz	死对头
简码：sduv	所得税
简码：sduj	锁定胜局
简码：sdvu	僧多粥少
简码：sdxx	私底下
简码：sdyh	四大洋
简码：sdyi	搔到痒处
简码：sefu	死而复生
简码：sehy	死而后已
简码：sewh	死而无憾
简码：sewy	塞尔维亚
简码：sewd	萨尔瓦多
简码：sfeq	随风而去
简码：sfeu	随风而逝
简码：sfju	司法局
简码：sfqm	私房钱
简码：sfqy	随风潜入夜
简码：sfsc	三番四次
简码：sfsx	送佛送到西
简码：sftm	三伏天
简码：sfvs	三分钟
简码：sfvd	随风转舵
简码：sfvy	三分之一
简码：sfve	三分之二
简码：sfwc	三番五次
简码：sfwl	四分五裂
简码：sgby	三更半夜
简码：sgdy	三个多月
简码：sgdl	三国鼎立
简码：sgdu	三个多小时
简码：sgdv	三个多钟
简码：sgfs	损公肥私
简码：sghi	三个和尚没水吃
简码：sgij	三个臭皮匠
简码：sglj	苏格兰
简码：sgld	苏格拉底
简码：sglp	三姑六婆
简码：sgml	三顾茅庐
简码：sgr	三个人
简码：sgvl	赛过诸葛亮
简码：sgv	三个钟
简码：sgvt	三个钟头
简码：sgvi	三国志
简码：sgwi	三纲五常
简码：sgxq	三个星期
简码：sgxu	三个小时
简码：sgy	三个月
简码：sgyt	四个月
简码：sgyy	三国演义
简码：sgz	三个字
简码：sgzi	四个字
简码：shbx	死活不信
简码：shfr	死灰复燃
简码：shjl	松花江
简码：shju	随行就市
简码：shla	撒哈拉
简码：shqp	三魂七魄
简码：shsu	四环素
简码：shsy	岁寒三友
简码：shts	死胡同
简码：shup	四海升平
简码：shuo	俗话说
简码：shvd	四海之内皆兄弟
简码：shwd	三皇五帝
简码：shws	三呼万岁
简码：shwj	四海为家
简码：shyj	四海一家
简码：sigd	搜肠刮肚
简码：siug	四川省
简码：sikj	随处可见
简码：sild	三长两短
简码：siqf	思潮起伏
简码：sivl	丝绸之路
简码：sidx	四川大学
简码：sjcd	私家菜
简码：sjd	三季度
简码：sjdu	四季度
简码：sjhx	三句话
简码：sjhh	三句话不离本行
简码：sjit	四脚朝天
简码：sjjd	所见即所得
简码：sjjl	三教九流
简码：sjlt	所见略同
简码：sjqr	丧家犬
简码：sjqk	三缄其口
简码：sjqa	三聚氰胺
简码：sjsb	耸肩缩背
简码：sjsd	随叫随到
简码：sjsw	所见所闻
简码：sjtl	丧尽天良
简码：sjvq	丧家之犬
简码：sjx	三角形
简码：sjyb	随机应变
简码：sjyx	送旧迎新
简码：skjg	司空见惯
简码：sksi	萨克斯
简码：skti	思考题
简码：skyu	随口一说
简码：slba	算了吧
简码：slbj	酸了吧唧
简码：slfk	斯洛伐克
简码：slgr	三连冠
简码：slie	三轮车
简码：sljd	三六九等
简码：sllq	酸溜溜
简码：sllk	斯里兰卡
简码：slke	斯洛克
简码：slkq	松了口气
简码：slla	塞拉利昂
简码：slmf	所罗门
简码：slnj	苏里南
简码：slnr	色厉内荏
简码：slqd	四轮驱动
简码：slqu	死里求生
简码：slsr	算了算
简码：slsj	耸了耸肩
简码：sltu	死里逃生
简码：slwu	三令五申
简码：slwy	斯洛文尼亚
简码：slxq	思来想去
简码：slyr	司令员
简码：slyt	死路一条
简码：slyq	松了一口气
简码：slzu	撒拉族
简码：smbf	四面八方
简码：smdy	死马当活马医
简码：smig	四面楚歌
简码：smjt	四目交投
简码：smli	索马里
简码：smmi	色眯眯
简码：smnv	驷马难追
简码：smni	岁末年初
简码：smpu	素昧平生
简码：smvi	三明治
简码：smvx	司马昭之心
简码：smyi	扫描仪
简码：smxd	四目相对
简码：snbv	三年不开张
简码：snj	三年级
简码：snjb	死脑筋
简码：snji	四年级
简码：snje	塞内加尔
简码：snke	斯诺克
简码：spbw	四平八稳
简码：splm	撕破脸
简码：spll	死皮赖脸
简码：splp	撕破脸皮
简码：spls	塞浦路斯
简码：sqbl	死乞白赖
简码：sqdh	俗气得很
简码：sqey	三七二十一
简码：sqhl	死去活来
简码：sqii	死气沉沉
简码：sqkd	三七开
简码：sqld	算起来
简码：spnv	撒泡尿照照
简码：sqqn	死翘翘
简码：sqrg	丧权辱国
简码：sqsq	三妻四妾
简码：sqxh	思前想后
简码：sqyi	三缺一
简码：srbj	损人不利己
简码：srih	三人成虎
简码：srlj	损人利己
简码：srqj	肃然起敬
简码：srqy	思如泉涌
简码：srsh	色若死灰
简码：srtw	耸人听闻
简码：srx	三人行
简码：ssbb	随随便便
简码：ssbt	四散奔逃
简码：ssex	三思而行
简码：ssff	四四方方
简码：ssfd	瑟瑟发抖
简码：ssj	耸耸肩
简码：sskk	松松垮垮
简码：ssll	三三两两
简码：ssnn	岁岁年年
简码：ssn	三四年
简码：ssnt	岁岁年年人不同
简码：ssrk	丝丝入扣
简码：sssv	三四岁
简码：sssx	所思所想
简码：ssui	三四十
简码：ssxh	三岁小孩
简码：ssxd	三岁小孩都知道
简码：ssyu	虽死犹生
简码：ssyq	搜索引擎
简码：stbd	四通八达
简码：stbq	四体不勤
简码：stdy	三天打鱼
简码：stkl	酸甜苦辣
简码：stkx	酸甜苦辣咸
简码：stlu	三条路
简码：stlb	三头六臂
简码：stlt	三天两头
简码：stsw	三天三夜说不完
简码：stsn	缩头缩脑
简码：stfx	斯坦福大学
简码：subg	撒手不管
简码：subj	四时八节
简码：subh	四十不惑
简码：suer	塞舌尔
简码：suef	似是而非
简码：suel	三十而立
简码：sueq	撒手而去
简码：sufh	随声附和
简码：suho	私生活
简码：sulj	三十六计
简码：sumf	送上门
简码：suml	送上门来
简码：sun	三十年
简码：sunl	随手拈来
简码：sunz	搔首弄姿
简码：sunh	似水年华
简码：sunv	私生女
简码：surh	撒手人寰
简码：surq	似水柔情
简码：susd	随时随地
简码：susj	缩手缩脚
简码：sutk	随身听
简码：sutt	四世同堂
简码：suwj	所剩无几
简码：suwr	四舍五入
简码：suwl	死水微澜
简码：suwd	碎尸万段
简码：suyx	三生有幸
简码：suzi	私生子
简码：svbt	死猪不怕开水烫
简码：svbh	四肢百骸
简码：svel	随之而来
简码：svgx	丝竹管弦
简码：svjl	三贞九烈
简码：svqu	三战全胜
简码：svsj	速战速决
简码：svwl	四肢无力
简码：svy	馊主意
简码：swdv	死无对证
简码：swiq	三五成群
简码：swjd	肆无忌惮
简码：swks	孙悟空
简码：swlv	死亡率
简码：swqu	死无全尸
简码：swsv	四五岁
简码：swsd	斯文扫地
简码：swui	四五十
简码：swum	塞翁失马
简码：swul	斯威士兰
简码：swyc	算无遗策
简码：swyl	送往迎来
简码：swyt	三位一体
简码：swzd	死无葬身之地
简码：sxbg	死性不改
简码：sxbk	丧心病狂
简码：sxey	三心二意
简码：sxfx	似笑非笑
简码：sxji	四星级
简码：sxj	三星级
简码：sxjx	思想家
简码：sxli	私下里
简码：sxjj	思想境界
简码：sxlf	撕心裂肺
简码：sxpm	所向披靡
简码：sxrk	思贤如渴
简码：sxsy	随心所欲
简码：sxtd	死心塌地
简码：sxui	三小时
简码：sxuu	私相授受
简码：sxww	色香味
简码：sxwd	所向无敌
简码：sxwe	三下五除二
简码：sxwq	思绪万千
简码：sxxk	思想性
简码：sxyj	死心眼
简码：sxym	夙兴夜寐
简码：sxzn	私心杂念
简码：syal	死于安乐
简码：sybr	岁月不饶人
简码：sydx	所以动心忍性
简码：syea	随遇而安
简码：syff	四月份
简码：syfm	死于非命
简码：syfg	塞牙缝
简码：syhx	私有化
简码：syju	所言极是
简码：syly	三言两语
简码：symz	死要面子
简码：syne	所以呢
简码：syqr	所有权
简码：syqy	私营企业
简码：syrj	所以然
简码：syrs	岁月如梭
简码：syrr	岁月荏苒
简码：syuo	所以说
简码：syun	所以说呢
简码：syww	肆意妄为
简码：sywx	死亦为鬼雄
简码：syxk	随意性
简码：syyg	死有余辜
简码：szbf	孙子兵法
简码：szdi	所在地
简码：szdl	三足鼎立
简码：szjk	三字经
简码：szsw	所作所为
简码：sztd	色字头上一把刀
简码：szyj	嗓子眼
简码：tb	特别
简码：tl	讨论
简码：ty	统一
简码：tw	台湾
简码：tx	同学
简码：tq	天气
简码：tt	天天
简码：tf	头发
简码：tabp	凸凹不平
简码：tbco	挺不错
简码：tbck	坦白从宽
简码：tbcr	投笔从戎
简码：tbds	听不懂
简码：tbdj	坦白地讲
简码：tbdi	螳臂当车
简码：tbdl	天崩地裂
简码：tbdu	太不懂事
简码：tbdz	填饱肚子
简码：tbgo	通不过
简码：tbku	脱不开身
简码：tble	太棒了
简码：tblu	土八路
简码：tblj	挑拨离间
简码：tbqi	听不清楚
简码：tbsu	退避三舍
简码：tbsy	推本溯源
简码：tbtk	听不听
简码：tbtj	天兵天将
简码：tbtt	头版头条
简码：tbtg	疼不疼
简码：tbts	痛不痛
简码：tbuh	谈不上
简码：tbvi	恬不知耻
简码：tbvl	推波助澜
简码：tbwz	提笔忘字
简码：tbwj	土崩瓦解
简码：tbxx	太不小心
简码：tbxh	太不像话
简码：tbxl	同病相怜
简码：tbxq	特别行政区
简码：tbxd	同胞兄弟
简码：tbyk	铁板一块
简码：tbyu	痛不欲生
简码：tbzm	天不作美
简码：tbjm	听不见
简码：tbjq	听不进去
简码：tbjj	太不讲究
简码：tbjy	头把交椅
简码：tbjz	添兵减灶
简码：tcdb	天材地宝
简码：tchm	图财害命
简码：tcry	天从人愿
简码：tdhq	跳到黄河洗不清
简码：tdil	推倒重来
简码：tdiq	天道酬勤
简码：tdjl	贪多嚼不烂
简码：tdll	挑大梁
简码：tdlp	天打雷劈
简码：tdlx	天地良心
简码：tdq	提得起
简码：tdqu	舔犊情深
简码：tdst	痛定思痛
简码：tdu	谈得上
简码：tdul	荼毒生灵
简码：tdwy	贪得无厌
简码：tdwh	天打五雷轰
简码：tdyv	挑灯夜战
简码：tdyc	天妒英才
简码：tdzk	添丁增口
简码：tebw	听而不闻
简码：teby	痛而不言
简码：tegv	推而广之
简码：tehv	堂而皇之
简码：tejw	退而结网
简码：teqi	土耳其
简码：teqc	退而求其次
简码：tezx	铤而走险
简码：tfbx	通风报信
简码：tfdf	天翻地覆
简码：tfid	头发长见识短
简码：tfjb	太费劲
简码：tfju	挑肥拣瘦
简码：tfjy	听风就是雨
简码：tflx	条分缕析
简码：tfmj	突飞猛进
简码：tfqx	突发奇想
简码：tfvg	天府之国
简码：tfwj	铁饭碗
简码：tfxk	突发性
简码：tfyb	天赋异禀
简码：tfym	同父异母
简码：tfyt	天方夜谭
简码：tgbi	同工不同酬
简码：tgdh	天高地厚
简码：tgdd	天公地道
简码：tgdv	天干地支
简码：tgdy	天高地远
简码：tgfl	太过分了
简码：tggk	同甘共苦
简码：tghk	天高海阔
简码：tghl	退耕还林
简码：tghy	天高皇帝远
简码：tgji	铁公鸡
简码：tgjl	偷工减料
简码：tglj	谈古论今
简码：tgnx	吐故纳新
简码：tgqf	痛改前非
简码：tgrf	天高任鸟飞
简码：tgti	同工同酬
简码：tgwl	贪官污吏
简码：tgxk	提个醒
简码：tgml	天刚蒙蒙亮
简码：tgyb	铁观音
简码：tgye	涂改液
简码：tgyf	天各一方
简码：tgyh	韬光养晦
简码：tgyj	同归于尽
简码：thbj	天花板
简码：thbv	蜕化变质
简码：thda	天昏地暗
简码：thdl	天荒地老
简码：thgd	醍醐灌顶
简码：thgn	偷换概念
简码：thle	太好了
简码：thll	桃红柳绿
简码：thlu	土豪劣绅
简码：thlv	天花乱坠
简码：thlj	谈婚论嫁
简码：thnv	头昏脑涨
简码：thnh	徒呼奈何
简码：thpv	通货膨胀
简码：thry	谈何容易
简码：thsb	投怀送抱
简码：thtv	拖后腿
简码：thwd	挺好玩的
简码：thwl	太好玩了
简码：thyg	铁画银钩
简码：thyh	头昏眼花
简码：thyx	昙花一现
简码：thyl	太好用了
简码：thyy	桃花运
简码：tibv	推崇备至
简码：tidj	天长地久
简码：tidk	同仇敌忾
简码：tidy	天差地远
简码：tidb	天差地别
简码：tigv	同床共枕
简码：tigx	突出贡献
简码：tiiv	铁杵成针
简码：tiix	推陈出新
简码：tijg	统筹兼顾
简码：tijj	同场竞技
简码：timv	铁杵磨成针
简码：tirj	天长日久
简码：tity	铁齿铜牙
简码：tiut	逃出生天
简码：tivd	突出重点
简码：tixd	坦诚相待
简码：tixf	痛彻心扉
简码：tiym	同床异梦
简码：tizo	天秤座
简码：tjbm	偷鸡不着蚀把米
简码：tjbl	天机不可泄露
简码：tjdb	投机倒把
简码：tjdk	拖家带口
简码：tjdy	天经地义
简码：tjhj	讨价还价
简码：tjhq	跳进黄河洗不清
简码：tjj	统计局
简码：tjjr	推己及人
简码：tjjl	团结就是力量
简码：tjkz	塔吉克族
简码：tjkt	塔吉克斯坦
简码：tjmg	偷鸡摸狗
简码：tjpx	天将破晓
简码：tjqr	太极拳
简码：tjqq	投机取巧
简码：tjsd	田径赛
简码：tjvm	脱缰之马
简码：tjvr	头角峥嵘
简码：tjxu	投井下石
简码：tjyh	听君一席话
简码：tjzu	土家族
简码：tjdx	同济大学
简码：tkbq	填空补缺
简码：tkei	脱口而出
简码：tkl	太快了
简码：tkll	痛快淋漓
简码：tklt	痛哭流涕
简码：tklg	塔克拉玛干
简码：tkmt	土库曼斯坦
简码：tkq	叹口气
简码：tlai	谈恋爱
简码：tlbi	螳螂捕蝉
简码：tldx	特立独行
简码：tldw	天罗地网
简码：tlfj	吐鲁番
简码：tlhd	挺厉害
简码：tlhl	涕泪横流
简码：tlht	拖了后腿
简码：tlhv	偷梁换柱
简码：tlhw	同流合污
简码：tlhz	通力合作
简码：tlji	拖拉机
简码：tlju	铁路局
简码：tlkh	脱离苦海
简码：tlkq	叹了口气
简码：tlle	太累了
简码：tlld	体力劳动
简码：tlmx	桃李满天下
简码：tlnr	天理难容
简码：tlng	特立尼达和多巴哥
简码：tlrf	同龄人
简码：tlrq	天理人情
简码：tlsi	托拉斯
简码：tlt	舔了舔
简码：tltq	挑来挑去
简码：tltv	推了推
简码：tltj	谈了谈
简码：tluj	脱离实际
简码：tlvl	天伦之乐
简码：tlvj	屠龙之技
简码：tlvu	天籁之声
简码：tlvv	天理昭昭
简码：tlvy	天籁之音
简码：tlwg	徒劳无功
简码：tlwy	徒劳无益
简码：tlxb	铁了心
简码：tlxf	袒露心扉
简码：tlxi	跳梁小丑
简码：tlzi	捅娄子
简码：tmb	挑毛病
简码：tmbg	图谋不轨
简码：tmbw	天命不可违
简码：tmde	他妈的
简码：tmfw	捅马蜂窝
简码：tmgi	土木工程
简码：tmle	太慢了
简码：tmml	天蒙蒙亮
简码：tmv	投名状
简码：tmvn	天命之年
简码：tmws	铁面无私
简码：tmxr	贪慕虚荣
简码：tmxz	唾沫星子
简码：tnbk	糖尿病
简码：tndb	天南地北
简码：tndu	拖泥带水
简码：tnfr	头脑发热
简码：tnhb	天南海北
简码：tnjd	头脑简单
简码：tnqw	探囊取物
简码：tnry	天怒人怨
简码：tnsi	突尼斯
简码：tpdd	调皮捣蛋
简码：tpfu	通配符
简码：tpjm	太平间
简码：tpkz	突破口
简码：tpq	踢皮球
简码：tpvf	脱贫致富
简码：tpxk	突破性
简码：tpxl	头破血流
简码：tpyh	太平洋
简码：tqbx	图穷匕见
简码：tqdc	跆拳道
简码：tqdl	通情达理
简码：tqfy	探亲访友
